ID,Username,ProfileURL,Title,Rating,Review Text,Review Content,Review URL,Date,Format,Verified,Helpful,Thumbnails,Images,Video,Scraped At
RMUE2C6R98XA1,Sk A Alam,https://www.amazon.in/gp/profile/amzn1.account.AFY2KESN25MTPXWRX2Q4ZDJ7A7IA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good,4,4.0 out of 5 stars,Home use product.,https://www.amazon.in/gp/customer-reviews/RMUE2C6R98XA1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 16 October 2025,Colour: BlackSize: 6KG(3KG*2),Verified Purchase,,,,,2025-11-08T15:56:08.804Z
R3W1QJKF0JWGMC,Sumit s.,https://www.amazon.in/gp/profile/amzn1.account.AEBU6UQBBSAH5D5C3KPECUK56PPA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Nice product,4,4.0 out of 5 stars,Nice dumbbell but it is not as shown in image.,https://www.amazon.in/gp/customer-reviews/R3W1QJKF0JWGMC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 4 October 2025,Colour: BlackSize: 6KG(3KG*2),Verified Purchase,,,,,2025-11-08T15:56:08.805Z
R30IOBBKH192LX,Raziya sultana,https://www.amazon.in/gp/profile/amzn1.account.AHBKCTCNDRY4ZMZU7MERDCYD7VUA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Nice,4,4.0 out of 5 stars,Helpful,https://www.amazon.in/gp/customer-reviews/R30IOBBKH192LX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 10 October 2025,Colour: BlackSize: 2KG(1KG*2),Verified Purchase,,,,,2025-11-08T15:56:08.805Z
R1N16AJZBS672M,Shiwani Prakash,https://www.amazon.in/gp/profile/amzn1.account.AEULPONRVUDUNHC4EPDBXSULVEQA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good nd usefull product,4,4.0 out of 5 stars,"Good looking, colour,finishing is also good, packaging is also good. They taken dilivery charge extra.",https://www.amazon.in/gp/customer-reviews/R1N16AJZBS672M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 5 October 2025,Colour: RedSize: 4KG(2KG*2),Verified Purchase,3 people found this helpful,https://m.media-amazon.com/images/I/71uLxTJHYVL._SY88.jpg,https://m.media-amazon.com/images/I/71uLxTJHYVL.jpg,,2025-11-08T15:56:08.805Z
R3JO016YKP2FMZ,Samadhan lohar,https://www.amazon.in/gp/profile/amzn1.account.AH3773N34L5646KS2L4N2EKVFHDA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Waight is accurate,4,4.0 out of 5 stars,"Best option for beginning, it's little bigger than shown in images",https://www.amazon.in/gp/customer-reviews/R3JO016YKP2FMZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 4 October 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,,https://m.media-amazon.com/images/I/71vUxcY0S+L._SY88.jpg,https://m.media-amazon.com/images/I/71vUxcY0S+L.jpg,,2025-11-08T15:56:08.805Z
R1V73QHCUFSO3G,Rama,https://www.amazon.in/gp/profile/amzn1.account.AHDWZ4RT37HWSML2EJT7ZPVWPF6A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Worthful,4,4.0 out of 5 stars,Good item,https://www.amazon.in/gp/customer-reviews/R1V73QHCUFSO3G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 5 October 2025,Colour: BlackSize: 6KG(3KG*2),Verified Purchase,,,,,2025-11-08T15:56:08.805Z
R2O776MJADI35H,Sameer Shahi,https://www.amazon.in/gp/profile/amzn1.account.AHHWHCR2NXEPSC3AYB5THVY442NQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"Must Buy , Affordable price , No Damage",4,4.0 out of 5 stars,"Right now , Everything feels good about this dumbell . The build The colour and the grip feels nice. If it works well for 6 months i will come and rate it a 5 ⭐. Till then it's 4 ⭐",https://www.amazon.in/gp/customer-reviews/R2O776MJADI35H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 29 August 2025,Colour: RedSize: 10KG(5KG*2),Verified Purchase,One person found this helpful,https://m.media-amazon.com/images/I/719YQ2JVhpL._SY88.jpg; https://m.media-amazon.com/images/I/71GuH08WB4L._SY88.jpg; https://m.media-amazon.com/images/I/71NZXozX7cL._SY88.jpg; https://m.media-amazon.com/images/I/71uRuk5SKyL._SY88.jpg,https://m.media-amazon.com/images/I/719YQ2JVhpL.jpg; https://m.media-amazon.com/images/I/71GuH08WB4L.jpg; https://m.media-amazon.com/images/I/71NZXozX7cL.jpg; https://m.media-amazon.com/images/I/71uRuk5SKyL.jpg,,2025-11-08T15:56:08.811Z
R2JADCK5OJY8NE,Bharat chouhan,https://www.amazon.in/gp/profile/amzn1.account.AH5CWQHJCVVTDAXP23O3MKFMHDCA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Not received as I expect.,3,3.0 out of 5 stars,"One dumbbell not filled properly and have gap inside. When I pick it, there is some sound inside it.",https://www.amazon.in/gp/customer-reviews/R2JADCK5OJY8NE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 23 October 2025,Colour: BlackSize: 2KG(1KG*2),Verified Purchase,,,,,2025-11-08T15:56:08.811Z
R2QPMYMPEE7DSY,priya madhuri kindo,https://www.amazon.in/gp/profile/amzn1.account.AGY35E5MNKFKU2O5H6VOKJLTJ5CA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good for begginers,4,4.0 out of 5 stars,Begginers  friendly,https://www.amazon.in/gp/customer-reviews/R2QPMYMPEE7DSY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 13 September 2025,Colour: BlackSize: 4KG(2KG*2),Verified Purchase,,,,,2025-11-08T15:56:08.811Z
R1TFCS3OPIPFNU,Ankit M.,https://www.amazon.in/gp/profile/amzn1.account.AEH7BBNO5REESMKIFMTYKDYH7FEQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,It has some rattling noise of material filled inside,4,4.0 out of 5 stars,Ok ok quality fine for temporary use,https://www.amazon.in/gp/customer-reviews/R1TFCS3OPIPFNU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Reviewed in India on 9 September 2025,Colour: RedSize: 6KG(3KG*2),Verified Purchase,,,,,2025-11-08T15:56:08.812Z
